hotel_name,name,rating,review
C3 Hotel Ungaran,Pemenang Sejati,5.0,Ok
C3 Hotel Ungaran,Ambarini Widjaya,4.0,Recommended
C3 Hotel Ungaran,Alfi Falakh,5.0,Nice
C3 Hotel Ungaran,Sugi Febriansyah,5.0,Good
C3 Hotel Ungaran,Agung Budi P,5.0,good place..
C3 Hotel Ungaran,Chintya Prabawati,5.0,Love
C3 Hotel Ungaran,Tri Desti Prihatin,4.0,Good
C3 Hotel Ungaran,Danu Vivo,4.0,Wonderful
C3 Hotel Ungaran,Uti Tarty,3.0,nice
C3 Hotel Ungaran,M Yugo,5.0,Okay
C3 Hotel Ungaran,Santoso Handaru,4.0,OK
C3 Hotel Ungaran,Luther Saleppa,4.0,Like
C3 Hotel Ungaran,Bije Mujiatma,3.0,Coffeee time
C3 Hotel Ungaran,Nurul Auliani,5.0,"(Translated by Google) The hotel is clean, tidy, hand sanitizer is provided in each room near the door. We ordered 2 family rooms that are next to each other, the room size is still spacious, comfortable for a family with many children, but we have to be careful if the child is still small3 because there is a bunk bed (level bed). Park our car in front of the room, so it's very easy. Breakfast tastes good, although the menu choices are less varied. The location is on the edge of a major road, across from Sate Pak Kempleng 1, beside/a row of hotels there is also Domino's Pizza & KFC, so it's safe if you are looking for children's food (Original) Hotelnya bersih, rapi, disediakan hand sanitizer di dalam tiap kamar dkt pintu. Kami memesan 2 family room yg bersebelahan, ukuran kamar masih lega, nyaman utk yg keluarga dgn banyak anak, tapi harus hati2 jika anak msh kecil3 krn ada bunk bed (tempat tidur tingkat). Parkir mobil kami di depan kamar, jd sgt memudahkan. Sarapan pagi rasanya enak, walau pilihan menu kurang variasi. Lokasi di pinggir jalan besar, sebrang Sate Pak Kempleng 1, di samping/deretan hotel juga ada Domino's Pizza & KFC, jd aman kalau cari makanan anak2😁"
C3 Hotel Ungaran,yudhi andrey,1.0,"(Translated by Google) I stayed here for 5 days due to a business trip. And very bad service here. 1. The first day I checked in on October 24, I was not allowed to enter before paying at least 50%. Even though this hotel already has a partnership with my company. 2. I stayed in room 214, in that room: the air conditioner leaked and was not repaired until the last day 3. On the 26th at 08.00 I made payment for this hotel and asked for a receipt, but the receptionist was not given the reason I had not checked out. Even though normally, if people have paid in full, it's just a matter of giving them a receipt. 4. On the 27th, the towels given were very dirty and there was no tissue in my room. Very disappointing to stay at a hotel like this. (Original) Saya nginap disini selama 5 hari karena perjalanan dinas. Dan sangat buruk pelayanan disini. 1. Hari pertama saya check in tanggal 24 oktober, saya tidak boleh masuk sebelum membayar minimal 50%. Padahal hotel ini sudah ada kerjasama dengan perusahaan saya. 2. Saya menginap di kamar 214, dalam kamar tersebut : AC bocor dan tidak dibenerin sampai hari terakhir 3. Di tanggal 26 jam 08.00 saya melakukan pelunasan atas hotel ini dan minta kwitansi, namun sama resepsionist tidak diberikan dengan alasan saya belum check out. Padahal normalnya, kalau orang udah bayar penuh, yaaa tinggal kasih dunk kwitansi. 4. Di tanggal 27, handuk yang diberikan sangat kotor serta tidak ada tisu dalam kamar saya. Sangat mengecewakan bermalam di hotel seperti ini."
C3 Hotel Ungaran,ferry tjen,5.0,"(Translated by Google) It's really ok to stop by and move around the tourist area here. For family rooms, up to 4 beds. The bathroom water is runny and clean, suggestions for the bathroom floor can be found a way not to be slippery (although it dries quickly) for parents to be a little careful so as not to slip.. Oh yes, for breakfast, the menu and taste are quite ok. (Original) Ok banget utk mampir dan bergerak di area wisata sini. Utk kamar keluarga bisa sampai 4 kasur. Kamar mandi airnya kuenceng dan bersih, saran utk lantai kamar mandi bisa dicari cara utk tidak licin (meskipun cepat kering) utk orang tua rada harus hati-hati supaya tidak terpeleset.. Oh ya utk sarapan cukup ok menu dan rasanya."
C3 Hotel Ungaran,Nurul Rahma,5.0,"(Translated by Google) Hotel rooms for families are very comfortable with bunk beds. Besides being clean and beautiful, this hotel is cool even though it is located on the edge of the highway. Maybe it would be better if there was a bigger hotel sign, so that car drivers wouldn't go too far. (Original) Kamar hotel untuk family sangat nyaman dengan kasur tingkat. Selain bersih dan asri, hotel ini sejuk walau terletak di pinggir jalan raya. Mungkin akan lebih baik jika ada plang hotel yg lebih besar, agar pengendara mobil tidak kebablasan."
Villa Petra Ungaran,Alphene Bolada'aw,4.0,"I like this place, very nice view and comfortable rooms. But the sauna was broken and insects got in our room. I'll come again next time, make sure those 2 things are cleared up."
Villa Petra Ungaran,Yama Aryadanangjaya,4.0,"Very nice view, pretty comfortable, the deluxe room is large enough for 4 person, the swimming pool is clean, you'll only get fried rice as breakfast"
Villa Petra Ungaran,Kurrata Ayun,5.0,Nice villa with very affordable price. Too near to mountain. Feel the experience close with nature and best faccilities
Villa Petra Ungaran,Brilian Putra Amiruddin,5.0,"Very nice and beautiful place with value for money price, you can watch the paronama of Ungaran Mountain outside of your room if your room in second floor, however to find this place is pretty difficult you must pay attention to the street before the alley to this hotel if not you may miss that alley and you should take a turn again to Diponegoro street because the street to this hotel is a one way street"
Villa Petra Ungaran,Jony lie,5.0,"It's a good place , I love this villa's"
Villa Petra Ungaran,Ronhugo Leo,3.0,good place and surrounding but need more toilet
Villa Petra Ungaran,Herlaut Bima,5.0,Nice n cozy place to stay
Villa Petra Ungaran,Firman Andriy,4.0,nice place... good view
Villa Petra Ungaran,CV GHINA,5.0,Mantaappp..ComfortBest View
Villa Petra Ungaran,Ikra Nugraha,5.0,Really nice resort and view!
Villa Petra Ungaran,Abraham Fauz,4.0,Nice for family meeting or church retreat
Villa Petra Ungaran,Egrang Channel,5.0,The best place for familli holiday
Villa Petra Ungaran,Syarif Udin,4.0,Mountain view n swiming pool
Villa Petra Ungaran,Rifai S,5.0,Outing MIS 2020
Villa Petra Ungaran,Kezia Kanahaya,5.0,Cozy place
Villa Petra Ungaran,Edward Verhoeven,3.0,Good for family
Villa Petra Ungaran,widi noya,5.0,great place
Villa Petra Ungaran,Stella Maris Adinda,5.0,Nice
Villa Petra Ungaran,makarimachmad,4.0,"(Translated by Google) Affordable prices but there are no places to eat around it, some of the outside lights are off so at night the lighting is dim (Original) Harga terjangkau tapi tidak ada tempat makan di sekitarnya, beberapa lampu luar sudah mati jadi kalo malem pencahayaannya remang2"
Villa Petra Ungaran,Amar Maruf,5.0,"(Translated by Google) The villa is good, the view is winning but the cutlery, kitchen and refrigerator are a bit difficult, you have to get permission from the villa manager first (Original) Villa nya bagus, pemandangannya juara tapi peralatan makan, dapur dan kulkas agak sulit harus ijin dulu ke pengurus villa"
Villa Petra Ungaran,The Lely Kasmin,5.0,"(Translated by Google) The place is cool and there is a swimming pool, there are gym equipment. Q highly recommend this villa (Original) Tempatnya sejuk dan ada kolam renangnya, ada alat gymnya. Q sangat merekomendasikan villa ini"
Villa Petra Ungaran,Ragil Suluh,2.0,"(Translated by Google) Suggestions please pay attention, 1. The bathroom smells of urine 2. The guard who is a guy who is bitchy is a lot of control. 3. Please replace the lights with lighter ones, because they are too dark and some have died. 4. Also pay attention to the water in the swimming pool... because there is a lot of dirt. (Original) Saran mohon diperhatikan, 1. Kamar mandi bau pesing 2. Penjaganya yg cowo aga judes banyak ngatur. 3. Lampu² mohon diganti dengan yg aga terang, krn terlalu gelap n bbrp sudah mati. 4. Air dikolam renang jg diperhatikan.. krn kmrn banyak kotoran."
Villa Petra Ungaran,Agushadi sonhaji,4.0,"(Translated by Google) comfortable place suitable for families, but does not provide food (Original) tempat nyaman cocok utk keluarga, tapi tidak menyediakan sajian makan"
Villa Petra Ungaran,Novie Victor,1.0,"(Translated by Google) The cs service is bad.. want to ask for a December booking, the answer is mbulet... do you intend to rent it or not (Original) Pelayanan cs nya buruk..mau nanya utk booking bulan desember jawabannya mbulet...niat mau di sewakan apa enggak sih"
Villa Petra Ungaran,mas tri triwidodo,5.0,"(Translated by Google) This is a cool villa, direct view of Mount Ungaran. The atmosphere is still cool. (Original) Keren ini villa, view langsung gunung Ungaran. Suasana masih sejuk."
Villa Petra Ungaran,Alvin Adji,5.0,"(Translated by Google) Really enjoy the holidays here with my wife and children There are ping pong facilities, a sauna and a very beautiful swimming pool with a mountain view and its position is right in front of the room so opening the room door you can immediately plunge into the swimming pool It's a shame the gym isn't open, you can only use a treadmill and there's no breakfast (Original) Sangat menikmati liburan disini bersama anak istri Ada fasilitas pingpong, sauna dan kolam renang yang sangat indah sekali dengan view gunung dan posisinya pas di depan kamar jadi buka pintu kamar bisa langsung nyenplung ke kolam renang Sayang gym nya ga buka cuma bisa pake treadmil aja dan ga ada sarapannya"
Villa Petra Ungaran,Kun Prasetyo,3.0,"(Translated by Google) The place is nice...comfortable..but most of the rules...if we have rented the villa...yes, that's our right...the rules can't be this...you can't do that... (Original) Tempatnya enak...nyaman..tp kebanyakan aturan...kalau villa udah kita sewa...ya sudah itu hak kita...aturannya Ndak boleh ini..Ndak boleh itu..."
Villa Petra Ungaran,NUROKHMAN WSD,5.0,"(Translated by Google) For travelers who want a comfortable place with a view of Mount Ungaran, highly recommended... (Original) Buat traveller yg menghendaki tmpt yg nyaman dgn view gn.ungaran, sangat recommended..."
Villa Petra Ungaran,Ade Suherman,5.0,"(Translated by Google) Nice place, the view is also good. The swimming pool is large and not many people. Very suitable for those of you who want to get rid of fatigue (Original) Nice place, viewnya juga bagus. Kolam renangnya luas dan gak banyak orang. Cocok banget buat kamu yg lagi pengen ngilanngin penat"
Villa Petra Ungaran,alinea jasmine,5.0,"(Translated by Google) The price is great for a family. Loud WiFi. Best view in ungaran area. Spacious room, extra bed available. Not pricy, the location is close to the Ungaran toll road (Original) Harganya masuk bgt buat keluarga. WiFi kenceng. Pemandangan terbaik di area ungaran. Kamar luas, ekstra bed tersedia. Not pricy, lokasi Deket dengan tol ungaran"
Villa Petra Ungaran,Anya and sist Channel,4.0,(Translated by Google) Good.. Take a 600 room + 150 extra bed.. Minus the Jacuzzi is dead + fitness equipment is given a barrier.. (Original) Bagus.. Ambil kamar yg 600an +extra bed 150.. Minus Jacuzzi nya mati + alat fitness di kasih pembatas..
Villa Petra Ungaran,Sensen _,5.0,"(Translated by Google) A place that I highly recommend, the facilities provided there are quite complete. The drawback is that when it rains water is accommodated into the living room and bedroom. But overall petra villa is good. (Original) Tempat yg sangat saya rkomendasikan, fasilitas yang di sediakan disana lumayan lengkap. Kekurangannya saat hujan air tertampu masuk sampai ke ruang tengah dan kamar. Tapi overall vila petra baik."
Villa Petra Ungaran,Jast 571,4.0,"(Translated by Google) The place is very comfortable, nice and the air is cool. The view of the mountain is so beautiful, it's a shame when you spend the night there the water suddenly dies before checkout time. As a result, I didn't have time to take a shower, please fix it! (Original) Tempatnya sangat nyaman, bagus dan udaranya sejuk. Pemandangan gunungnya begitu indah, sayang saat bermalam disana air mendadak mati jelang waktu checkout. Alhasil tak sempat mandi, harap diperbaiki!"
Villa Petra Ungaran,Rahman Nanda,5.0,"(Translated by Google) The place is really great for a break with the scenery makes it cool, the people are really friendly and made drinks even though they've checked out (Original) Tempatnya mantap banget buat istirahat sama pemandangannya bikin adem, orangnya ramah banget dibikinin minuman walau udah check out"
Villa Petra Ungaran,evy Apriliani,1.0,"(Translated by Google) The place is okay but the service is not satisfactory, the facilities are complete but you can't use it, gang. . There is a kitchen, you can't use it, there are fitness equipment, you can't use it, basically everything is limited, so if you want to go there again, think again, if we are going to book all the villas, lol (Original) Tempat si oke tp pelayananya kurang memuaskan, fasilitas kommplit tp g boleh di pake ya gengs. . Ada dapur g boleh di pake, ada alat fitnes g boleh di pake pokokenya serba dibatasi semua so klo mau kesana lg jadi pikir ulang pdhl kita kmrn booking semua vila loh"
Villa Petra Ungaran,GoweSantuy,5.0,(Translated by Google) We document on AliAhmed's youtube channel (Original) Kita dokumentasi di channel youtune AliAhmed
Villa Petra Ungaran,Candasiri Indah,5.0,(Translated by Google) Really satisfying....it's just right to get a room in front of the swimming pool so I wake up early in the morning with a direct view of the pool and mountains...it's really cool and beautiful...the rooms are also big and affordable prices (Original) Bener2 memuaskan....pas bgt dpt kamar depan kolam renang jd pagi2 bangun tidur pemandangan lgsg kolam n pegunungan...sungguh sejuk n indah...kamarnya juga besar dan harga terjangkau
Villa Petra Ungaran,Game Zone,5.0,"(Translated by Google) The place is quiet, nice for refreshing, calming down, direct view of Mount Ungaran, swimming pool available, jacuzzi (Original) Tempatnya sunyi enak buat refreshing menenangkan diri, view langsung gunung Ungaran, tersedia kolam renang, jacuzzi"
Villa Petra Ungaran,Ndes CHANNEL,5.0,(Translated by Google) The place is good. Clean and maintained (Original) Tempatnya viewnya bagus. Bersih dan terawat
Villa Petra Ungaran,Siti Kholifah,5.0,"(Translated by Google) The Most Special In All Atmosphere And Beauty Of Villa Petra. (Original) Pokok'e Ter""Istimewa Dalam Smua Suasana Dan Keindahan Villa Petra."
Villa Petra Ungaran,Agus Sumardiono,4.0,"(Translated by Google) Villa with a very nice view of the mountain, the air is cool because it is under the foot of Mount Gedong Songo, a large parking area, there is a swimming pool. (Original) Villa dengan view yg bagus sekali yaitu gunung, udara yg sejuk karena berada dibawah kaki gunung gedong songo, tempat parkir luas, terdapat kolam renang."
Villa Petra Ungaran,BANG KEVIN,4.0,"(Translated by Google) The place is good, the facilities support the view okay,, (Original) Tempatnya bagus fasilitas mendukung view oke,,"
Villa Petra Ungaran,SRex Aswinto,5.0,"(Translated by Google) Very comfortable family villa, spacious room and garden, beautiful view, cool air, clean swimming pool for adults and children, there is a pretty good gym room. the breakfast menu is simple but tasty, the staff is friendly and accommodating ... (Original) villa keluarga yg sangat nyaman, kamar yg luas dan taman, pemandangan yg indah, udara sejuk, kolam renang utk dewasa dan anak yg bersih, ada ruang gym yg cukup baik. menu sarapan yg simple tapi enak, staff ramah dan akomodatif..."
Villa Petra Ungaran,Andy Kho,5.0,"(Translated by Google) Always stay here when you go to Ungaran. The complex is really nice, the rooms are clean, Ms. Mas is friendly. (Original) Selalu nginep di sini kalau ke Ungaran. Kompleksnya bagus banget, kamarnya bersih, mbak masnya ramah."
Villa Petra Ungaran,Maria Liemyeli,5.0,"(Translated by Google) Villa with the best view in Ungaran, cool air directly facing Mount Ungaran, good for hanging out because there is a sofa directly in front of the swimming pool, the room is also spacious, the fried rice breakfast is also delicious From the culinary center is also very close. Highly recommended 😍😍😍 (Original) Villa dgn pemandangan ter The Best di Ungaran, udara sejuk langsung menghadap di gunung ungaran, enak buat kongkow karena ada sofa langsung didepan kolam renang, kamar juga luas, breakfast nasi goreng juga enak Dari pusat kuliner juga sangat dekat. Recommended sekali 😍😍😍"
Villa Petra Ungaran,Mohammad Noval,4.0,"(Translated by Google) Very comfortable villa with free wifi, swimming pool, gym facilities. the landscape is also very nice fit for family vacations cool air became more comfortable stay at villa petra. (Original) villa yang sangat nyaman dengan fasilitas free wifi, kolam renang, gym . pemandangannya juga sangat bagus cocok untuk liburan keluarga udara yang sejuk menjadi tambah nyaman menginap di villa petra."
Villa Petra Ungaran,Widia Susanto,4.0,"(Translated by Google) The view is really good, the rooms are okay too. Unfortunately when I stayed in the suite room, just in the afternoon and evening the hot water didn't flow. It's been complained, but he can't do anything else because the hot water uses solar panels. 😁 (Original) Viewnya bagus banget, kamar juga oke. Sayangnya ketika saya nginep dikamar suite, pas sore dan malam air panasnya ngga ngalir. Sudah komplain tapi katanya ngga bisa diapa-apain lagi karena air panasnya pakai panel surya. 😁"
Villa Petra Ungaran,matiusandy,5.0,"(Translated by Google) Quiet, comfortable, good service, neat & clean place. The view with the beautiful Mount Ungaran in the background. Pool is clean & nice. Good breakfast menu, delivered to the room. Only limited car parking space. (Original) Tenang, nyaman, pelayanan baik, tempat rapi & bersih. Pemandangan dengan latar belakang Gunung Ungaran yang indah. Kolam renang bersih & bagus. Menu sarapan enak, diantar ke kamar. Hanya space parkir mobil terbatas."
Villa Petra Ungaran,Efrizal Freeze,5.0,(Translated by Google) Mantaapp.. Comfortable.. Good View.. Wanna come back again.. (Original) Mantaappp.. Nyaman.. Good View.. Pengen.balik lagi..
Villa Petra Ungaran,Hari S,4.0,"(Translated by Google) Best view, complete facilities, pool, sauna, gym, friendly service. Steady (Original) Best view, fasilitas lengkap, pool, sauna, gym, pelayanan ramah. Mantap"
Villa Petra Ungaran,buyung narendra,5.0,"(Translated by Google) A comfortable family villa and a beautiful view, with a view of Mount Ungaran (Original) Villa keluarga yg nyaman dan pemandangan yg indah, dengan view gunung ungaran"
Villa Petra Ungaran,Darodhes AYA,5.0,(Translated by Google) Fun place.... Fun. Excellent service.... (Original) Tempatnya Asyik.... Menyenangkan. Pelayanan prima....
Villa Petra Ungaran,Ahmad Mutohar (ahmad bagong),5.0,"(Translated by Google) the place is spacious with complete facilities with a view of Mount Ungaran, suitable for large family air conditioners (Original) tempatnya luas fasilitas lengkap view gunung ungaran,cocok untuk acr keluarga besar"
Villa Petra Ungaran,Ibnu Ichsan Hartono,5.0,(Translated by Google) It's nice(Original)Nice lah
Villa Petra Ungaran,Ida Fauziah,4.0,(Translated by Google) Nice view can see the mountain from the room door (Original) View bagus bisa melihat gunung dari pintu kamar
Villa Petra Ungaran,Adi Gunawan,5.0,"(Translated by Google) The atmosphere is calm, the views are mountains & suitable for families (Original) Suasana nya tenang,view nya pegunungan & cocok buat keluarga"
Villa Petra Ungaran,Wahyu Maulana (Bagas),5.0,(Translated by Google) Really good. Pool clean..staff friendly. (Original) Bagus banget. Kolam renang bersih..staff ramah.
Villa Petra Ungaran,SRI RAHAYU,5.0,"(Translated by Google) Private villas n resorts that are still very new. Presenting a very cool natural view, but to access the road to this place is not difficult. It's easy even near the ungaran square. (Original) Private villa n resort yg masih sangat baru. Menyuguhkan view alam yang sangat keren, namun untuk akses jalan menuju tempat ini tidaklah sulit. Sangat mudah bahkan dekat dengan alun - alun ungaran."
Villa Petra Ungaran,Hendra Liem,5.0,"(Translated by Google) The place is comfortable, suitable for intimate gatherings, gatherings or reunions. Spacious yard, there is a swimming pool. Not too far from the main street of Ungaran city. Even so, the atmosphere is still comfortable. The place is comfortable, suitable for intimate gatherings, gatherings or reunions. Spacious yard, there is a swimming pool. Not too far from the main street of Ungaran city. Even so, the atmosphere is still comfortable. (Original) Tempatnya nyaman, cocok untuk acara makrab, kumpul ataupun reuni. Halaman luas, ada kolam renang. Tidak terlalu jauh dari jalan utama kota ungaran. Meskipun begitu suasana tetap nyaman. Tempatnya nyaman, cocok untuk acara makrab, kumpul ataupun reuni. Halaman luas, ada kolam renang. Tidak terlalu jauh dari jalan utama kota ungaran. Meskipun begitu suasana tetap nyaman."
Villa Petra Ungaran,Deska Harlizar,5.0,(Translated by Google) This villa is very cheap.. the view is nothing to play with.. thank God.. (Original) Villa ini mirah banget.. viewnya bukan main lagi.. masyaallah..
Villa Petra Ungaran,Dewi Anisa,5.0,"(Translated by Google) Very comfortable villa. This villa has a beautiful view, we can see the view of Mount Ungaran and the countryside. This villa has a swimming pool, barbecue area, pavilion, public kitchen and gym facilities. This villa is suitable for honeymoon or vacation with family (Original) Villa yang sangat nyaman. Villa ini memiliki Pemandangan yang indah, kita bisa melihat Pemandangan Gunung Ungaran dan pedesaan. Villa ini memiliki fasilitas kolam renang, barbeque area, pendopo, dapur umum dan gym. Villa ini cocok untuk bulan madu atau berlibur dengan keluarga"
